Candidate,Polling,Pollster,Nationwide,State,Sample_Size,Voter_Type,DMY,Link
"Gavin Newsom",7.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Josh Shapiro",5.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Alexandria Ocasio-Cortez",3.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"J.B. Pritzker",3.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Beto O'Rourke",1.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Cory Booker",2.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Amy Klobuchar",1.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Kamala Harris",15.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Gavin Newsom",27.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Pete Buttigieg",15.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Amy Klobuchar",6.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Cory Booker",5.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Gretchen Whitmer",6.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"J.B. Pritzker",1.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,hhttps://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Josh Shapiro",6.00,"Capitol Weekly",NULL,California,681,NULL,2025-02-06,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/
"Kamala Harris",36.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Gavin Newsom",6.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Josh Shapiro",3.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Gretchen Whitmer",4.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Pete Buttigieg",10.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Tim Walz",9.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Alexandria Ocasio-Cortez",5.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"J.B. Pritzker",2.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Cory Booker",2.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Raphael Warnock",2.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Jasmine Crockett",2.00,"Echelon Insights",1,NULL,447,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Kamala Harris",37.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Gavin Newsom",1.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Josh Shapiro",6.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Gretchen Whitmer",4.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Pete Buttigieg",11.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Andy Beshear",3.00,ESurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Alexandra Ocasio-Cortez",7.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Chris Murphy",2.00,SurveyUSA,1,NULL,835,"Registered Voters",2025-02-13,https://www.surveyusa.com/client/PollReport.aspx?g=677c71f7-f291-4d3e-800c-b2bb85f3a305
"Kamala Harris",33.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Gavin Newsom",7.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Josh Shapiro",2.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Gretchen Whitmer",2.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Pete Buttigieg",10.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Tim Walz",5.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Alexandria Ocasio-Cortez",7.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"J.B. Pritzker",2.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Cory Booker",2.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Jasmine Crockett",3.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Chris Murphy",1.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Raphael Warnock",1.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Andy Beshear",2.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Kamala Harris",36.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Gavin Newsom",5.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Josh Shapiro",4.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Pete Buttigieg",10.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Gretchen Whitmer",2.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Tim Walz",5.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Alexandria Ocasio-Cortez",5.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Cory Booker",3.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Amy Klobuchar",2.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Andy Beshear",2.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Chris Murphy",1.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Rahm Emanuel",1.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Raphael Warnock",1.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"J.B. Pritzker",2.00,"Morning Consult",1,NULL,NULL,"Registered Voters",2025-03-14,https://links.morningconsult.com/s/vb/1lz390XhGEbaH0JBI-kfBgI3j37keAUfilDiUXDQgYmIVQJ0MfiiXsutcRARmrW5O31nuJvpsPZkxkzeqZevGUwf7u2RIcvmy7IQFozhmy_SpgPgr5kmdsE_4c2EMoWD1etkNrKTPE939Wb_zs7LzPgZVKyFXefDShoGbg/y2DwDJIrXtRipwgN998cnZgGR1frvEEM/7
"Kamala Harris",48.00,"Overton Insights",1,NULL,512,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Gavin Newsom",10.00,"Overton Insights",1,NULL,512,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Josh Shapiro",9.00,"Overton Insights",1,NULL,512,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Gretchen Whitmer",6.00,"Overton Insights",1,NULL,512,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Alexandria Ocasio-Cortez",15.00,"Overton Insights",1,NULL,512,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Kamala Harris",28.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Gavin Newsom",4.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Josh Shapiro",3.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Pete Buttigieg",7.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Tim Walz",5.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Alexandria Ocasio-Cortez",7.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"J.B. Pritzker",3.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Cory Booker",11.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Raphael Warnock",1.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Kamala Harris",18.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Gavin Newsom",8.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Josh Shapiro",5.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Gretchen Whitmer",4.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Pete Buttigieg",14.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Tim Walz",4.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Alexandria Ocasio-Cortez",12.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
